kode_kabkot,provinsi,kabupaten,kab_normalized,d2015,d2016,d2017,d2018,d2019,d2020,d2021,d2022,d2023,d2024,satuan,sumber
6101,Kalimantan Barat,Sambas,SAMBAS,82.0,82.0,83.0,83.0,84.0,94.0,95.0,96.0,109.0,110.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6102,Kalimantan Barat,Bengkayang,BENGKAYANG,44.0,45.0,46.0,46.0,47.0,56.0,57.0,58.0,54.0,55.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6103,Kalimantan Barat,Landak,LANDAK,36.0,37.0,37.0,37.0,38.0,45.0,45.0,45.0,49.0,50.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6104,Kalimantan Barat,Mempawah,MEMPAWAH,197.0,200.0,202.0,202.0,207.0,108.0,109.0,111.0,162.0,164.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6105,Kalimantan Barat,Sanggau,SANGGAU,35.0,35.0,36.0,36.0,37.0,38.0,38.0,38.0,40.0,41.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6106,Kalimantan Barat,Ketapang,KETAPANG,15.0,16.0,16.0,16.0,16.0,18.0,19.0,19.0,20.0,20.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6107,Kalimantan Barat,Sintang,SINTANG,18.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6108,Kalimantan Barat,Kapuas Hulu,KAPUAS HULU,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6109,Kalimantan Barat,Sekadau,SEKADAU,36.0,36.0,36.0,36.0,37.0,39.0,39.0,39.0,37.0,37.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6110,Kalimantan Barat,Melawi,MELAWI,18.0,19.0,19.0,19.0,20.0,21.0,22.0,22.0,24.0,24.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6111,Kalimantan Barat,Kayong Utara,KAYONG UTARA,23.0,23.0,24.0,24.0,25.0,28.0,28.0,29.0,32.0,33.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6112,Kalimantan Barat,Kubu Raya,KUBU RAYA,78.0,79.0,81.0,81.0,83.0,88.0,88.0,89.0,75.0,76.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6171,Kalimantan Barat,Kota Pontianak,PONTIANAK,5637.0,5728.0,5817.0,5817.0,5999.0,6110.0,6157.0,6213.0,5714.0,5760.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6172,Kalimantan Barat,Kota Singkawang,SINGKAWANG,412.0,420.0,427.0,427.0,442.0,466.0,472.0,479.0,447.0,454.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6301,Kalimantan Selatan,Tanah Laut,TANAH LAUT,86.0,88.0,90.0,93.0,92.0,96.0,98.0,94.0,94.0,95.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6302,Kalimantan Selatan,Kota Baru,BARU,33.0,35.0,35.0,36.0,36.0,34.0,35.0,35.0,36.0,36.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6303,Kalimantan Selatan,Banjar,BANJAR,117.0,120.0,121.0,124.0,125.0,121.0,123.0,126.0,129.0,131.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6304,Kalimantan Selatan,Barito Kuala,BARITO KUALA,125.0,127.0,129.0,103.0,132.0,104.0,106.0,132.0,134.0,136.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6305,Kalimantan Selatan,Tapin,TAPIN,84.0,85.0,86.0,70.0,88.0,70.0,71.0,90.0,91.0,92.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6306,Kalimantan Selatan,Hulu Sungai Selatan,HULU SUNGAI SELATAN,125.0,127.0,129.0,130.0,132.0,126.0,127.0,137.0,139.0,141.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6307,Kalimantan Selatan,Hulu Sungai Tengah,HULU SUNGAI TENGAH,177.0,179.0,181.0,183.0,185.0,176.0,177.0,179.0,181.0,183.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6308,Kalimantan Selatan,Hulu Sungai Utara,HULU SUNGAI UTARA,237.0,240.0,243.0,263.0,250.0,254.0,256.0,246.0,249.0,252.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6309,Kalimantan Selatan,Tabalong,TABALONG,67.0,68.0,69.0,67.0,71.0,67.0,68.0,75.0,76.0,77.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6310,Kalimantan Selatan,Tanah Bumbu,TANAH BUMBU,64.0,66.0,68.0,70.0,71.0,64.0,66.0,69.0,69.0,70.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6311,Kalimantan Selatan,Balangan,BALANGAN,66.0,69.0,70.0,69.0,72.0,69.0,70.0,74.0,74.0,76.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6371,Kalimantan Selatan,Kota Banjarmasin,BANJARMASIN,9131.0,9415.0,9533.0,9734.0,9751.0,9134.0,9199.0,6785.0,6775.0,6798.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6372,Kalimantan Selatan,Kota Banjarbaru,BANJAR BARU,721.0,734.0,755.0,689.0,799.0,683.0,697.0,870.0,879.0,896.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6201,Kalimantan Tengah,Kotawaringin Barat,KOTAWARINGIN BARAT,25.0,26.0,27.0,28.0,29.0,25.0,25.0,29.0,30.0,30.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6202,Kalimantan Tengah,Kotawaringin Timur,KOTAWARINGIN TIMUR,24.0,25.0,26.0,27.0,28.0,26.0,26.0,28.0,29.0,29.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6203,Kalimantan Tengah,Kapuas,KAPUAS,24.0,24.0,24.0,24.0,24.0,27.0,28.0,25.0,25.0,25.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6204,Kalimantan Tengah,Barito Selatan,BARITO SELATAN,15.0,15.0,15.0,15.0,15.0,15.0,15.0,21.0,22.0,22.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6205,Kalimantan Tengah,Barito Utara,BARITO UTARA,16.0,16.0,16.0,16.0,16.0,19.0,19.0,16.0,16.0,16.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6206,Kalimantan Tengah,Sukamara,SUKAMARA,13.0,14.0,15.0,16.0,17.0,17.0,17.0,20.0,20.0,21.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6207,Kalimantan Tengah,Lamandau,LAMANDAU,13.0,13.0,13.0,13.0,13.0,15.0,16.0,14.0,13.0,14.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6208,Kalimantan Tengah,Seruyan,SERUYAN,9.0,10.0,11.0,12.0,13.0,10.0,10.0,11.0,11.0,11.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6209,Kalimantan Tengah,Katingan,KATINGAN,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6210,Kalimantan Tengah,Pulang Pisau,PULANG PISAU,14.0,14.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6211,Kalimantan Tengah,Gunung Mas,GUNUNG MAS,11.0,11.0,11.0,11.0,11.0,13.0,13.0,15.0,15.0,16.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6212,Kalimantan Tengah,Barito Timur,BARITO TIMUR,29.0,30.0,31.0,32.0,33.0,30.0,30.0,36.0,37.0,37.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
6213,Kalimantan Tengah,Murung Raya,MURUNG RAYA,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,jiwa/km2,BPS - Kepadatan Penduduk per Kabupaten/Kota 2015-2024
